maxfarms, p, zone, weight_z, cell
30, 0.6000000000000001, 108, 0.06666666666666667, 55184
30, 0.6000000000000001, 145, 0.1666666666666667, 67549
30, 0.65, 1, 0.1166666666666667, 1724
30, 0.65, 5, 0.03333333333333333, 4173
30, 0.65, 6, 0.03333333333333333, 5242
30, 0.65, 18, 0.15, 10434
30, 0.65, 19, 0.15, 10549
30, 0.65, 34, 0.05, 17487
30, 0.65, 41, 0.1333333333333333, 18787
30, 0.65, 65, 0.03333333333333333, 32983
30, 0.65, 95, 0.06666666666666667, 48593
30, 0.65, 108, 0.06666666666666667, 55184
30, 0.65, 137, 0.03333333333333333, 64712
30, 0.65, 145, 0.1333333333333333, 67549
30, 0.7000000000000001, 1, 0.1166666666666667, 1724
30, 0.7000000000000001, 5, 0.03333333333333333, 4173
30, 0.7000000000000001, 6, 0.03333333333333333, 5242
30, 0.7000000000000001, 18, 0.08333333333333333, 10434
30, 0.7000000000000001, 19, 0.1666666666666667, 10549
30, 0.7000000000000001, 31, 0.03333333333333333, 16372
30, 0.7000000000000001, 34, 0.05, 17487
30, 0.7000000000000001, 41, 0.1333333333333333, 18787
30, 0.7000000000000001, 65, 0.03333333333333333, 32983
30, 0.7000000000000001, 95, 0.08333333333333333, 48593
30, 0.7000000000000001, 108, 0.05, 55184
30, 0.7000000000000001, 137, 0.05, 64712
30, 0.7000000000000001, 142, 0.03333333333333333, 66112
30, 0.7000000000000001, 145, 0.1, 67549
30, 0.75, 1, 0.1166666666666667, 1724
30, 0.75, 5, 0.03333333333333333, 4173
30, 0.75, 10, 0.03333333333333333, 6385
30, 0.75, 18, 0.03333333333333333, 10434
30, 0.75, 19, 0.2, 10549
30, 0.75, 31, 0.03333333333333333, 16372
30, 0.75, 34, 0.03333333333333333, 17487
30, 0.75, 41, 0.1333333333333333, 18787
30, 0.75, 65, 0.05, 32983
30, 0.75, 81, 0.03333333333333333, 40838
30, 0.75, 95, 0.06666666666666667, 48593
30, 0.75, 108, 0.05, 55184
