maxfarms, p, zone, weight_z, cell, weight_c
20, 0.05, 16, 0.08333333333333333, 6586, 0.001666666666666677
20, 0.05, 14, 0.2, 6593, 0.001666666666666677
20, 0.05, 14, 0.2, 6594, 0.001666666666666677
20, 0.05, 14, 0.2, 6595, 0.001666666666666677
20, 0.05, 14, 0.2, 6596, 0.001666666666666677
20, 0.05, 14, 0.2, 6597, 0.001666666666666677
20, 0.05, 14, 0.2, 6598, 0.001666666666666677
20, 0.05, 14, 0.2, 6599, 0.001666666666666677
20, 0.05, 14, 0.2, 6600, 0.001666666666666677
20, 0.05, 14, 0.2, 6601, 0.001666666666666677
20, 0.05, 19, 0.2, 6602, 0.001666666666666677
20, 0.05, 19, 0.2, 6603, 0.001666666666666677
20, 0.05, 19, 0.2, 6604, 0.001666666666666677
20, 0.05, 19, 0.2, 6605, 0.001666666666666677
20, 0.05, 19, 0.2, 6606, 0.001666666666666677
20, 0.05, 19, 0.2, 6607, 0.001666666666666677
20, 0.05, 19, 0.2, 6608, 0.001666666666666677
20, 0.05, 19, 0.2, 6609, 0.001666666666666677
20, 0.05, 19, 0.2, 6610, 0.001666666666666677
20, 0.05, 9, 0.2, 6611, 0.001666666666666677
20, 0.05, 18, 0.2, 6612, 0.001666666666666677
20, 0.05, 18, 0.2, 6613, 0.001666666666666677
20, 0.05, 18, 0.2, 6614, 0.001666666666666677
20, 0.05, 18, 0.2, 6615, 0.001666666666666677
20, 0.05, 18, 0.2, 6616, 0.001666666666666677
20, 0.05, 18, 0.2, 6617, 0.001666666666666677
20, 0.05, 18, 0.2, 6618, 0.001666666666666677
20, 0.05, 18, 0.2, 6619, 0.001666666666666677
20, 0.05, 18, 0.2, 6620, 0.001666666666666677
20, 0.05, 18, 0.2, 6621, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6717, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6718, 0.001666666666666677
20, 0.05, 16, 0.08333333333333333, 6719, 0.001666666666666677
20, 0.05, 14, 0.2, 6725, 0.001666666666666677
20, 0.05, 14, 0.2, 6726, 0.001666666666666677
20, 0.05, 14, 0.2, 6727, 0.001666666666666677
20, 0.05, 14, 0.2, 6728, 0.001666666666666677
20, 0.05, 14, 0.2, 6729, 0.001666666666666677
20, 0.05, 14, 0.2, 6730, 0.001666666666666677
20, 0.05, 14, 0.2, 6731, 0.001666666666666677
20, 0.05, 14, 0.2, 6732, 0.001666666666666677
20, 0.05, 14, 0.2, 6733, 0.001666666666666677
20, 0.05, 14, 0.2, 6734, 0.001666666666666677
20, 0.05, 19, 0.2, 6735, 0.001666666666666677
20, 0.05, 19, 0.2, 6736, 0.001666666666666677
20, 0.05, 19, 0.2, 6737, 0.001666666666666677
20, 0.05, 19, 0.2, 6738, 0.001666666666666677
20, 0.05, 19, 0.2, 6739, 0.001666666666666677
20, 0.05, 19, 0.2, 6740, 0.001666666666666677
20, 0.05, 19, 0.2, 6741, 0.001666666666666677
20, 0.05, 19, 0.2, 6742, 0.001666666666666677
