maxfarms, p, zone, weight_z, cell
20, 0.05, 4, 0.4, 7545
20, 0.05, 8, 0.2, 9239
20, 0.05, 10, 0.4, 11003
20, 0.1, 4, 0.4, 7545
20, 0.1, 8, 0.2, 9239
20, 0.1, 10, 0.4, 11003
20, 0.15000000000000002, 4, 0.4, 7545
20, 0.15000000000000002, 8, 0.2, 9239
20, 0.15000000000000002, 10, 0.4, 11003
20, 0.2, 4, 0.4, 7545
20, 0.2, 8, 0.1314773709542487, 9239
20, 0.2, 10, 0.4, 11003
20, 0.2, 25, 0.06852262904575127, 18787
20, 0.25, 3, 0.05659898404355243, 6163
20, 0.25, 4, 0.4, 7545
20, 0.25, 10, 0.4, 11003
20, 0.25, 25, 0.1434010159564475, 18787
20, 0.30000000000000004, 3, 0.05, 6163
20, 0.30000000000000004, 4, 0.3366947447863476, 7545
20, 0.30000000000000004, 10, 0.4, 11003
20, 0.30000000000000004, 25, 0.1633052552136523, 18787
20, 0.30000000000000004, 98, 0.05, 67549
20, 0.35000000000000003, 3, 0.08069466626369312, 6163
20, 0.35000000000000003, 4, 0.2433091264128414, 7545
20, 0.35000000000000003, 10, 0.4, 11003
20, 0.35000000000000003, 25, 0.1786601003337731, 18787
20, 0.35000000000000003, 98, 0.09733610698969239, 67549
20, 0.4, 1, 0.06604165539689945, 3419
20, 0.4, 3, 0.06649364868975129, 6163
20, 0.4, 4, 0.1376395639713699, 7545
20, 0.4, 10, 0.4, 11003
20, 0.4, 23, 0.05, 18140
20, 0.4, 25, 0.1455263052041929, 18787
20, 0.4, 98, 0.1342988267377864, 67549
20, 0.45, 1, 0.1026405210775753, 3419
20, 0.45, 3, 0.06129571581454938, 6163
20, 0.45, 4, 0.05611034927018414, 7545
20, 0.45, 10, 0.4, 11003
20, 0.45, 23, 0.05, 18140
20, 0.45, 25, 0.1429272802713093, 18787
20, 0.45, 75, 0.05, 55904
20, 0.45, 98, 0.1370261335663819, 67549
20, 0.5, 1, 0.1305826964495354, 3419
20, 0.5, 3, 0.06274428661659982, 6163
20, 0.5, 10, 0.391899163750011, 11003
20, 0.5, 23, 0.05, 18140
20, 0.5, 25, 0.1485059016288389, 18787
20, 0.5, 75, 0.05915610447562168, 55904
20, 0.5, 98, 0.1571118470793932, 67549
20, 0.55, 1, 0.1459432392547517, 3419
20, 0.55, 6, 0.05, 6910
20, 0.55, 10, 0.3535814712809769, 11003
20, 0.55, 23, 0.05, 18140
20, 0.55, 25, 0.1390334636739788, 18787
20, 0.55, 67, 0.05, 50627
20, 0.55, 75, 0.05, 55904
20, 0.55, 98, 0.1614418257902924, 67549
20, 0.6000000000000001, 1, 0.1433046816094214, 3419
20, 0.6000000000000001, 6, 0.05, 6910
20, 0.6000000000000001, 10, 0.3269052212021433, 11003
20, 0.6000000000000001, 23, 0.05, 18140
20, 0.6000000000000001, 25, 0.1419656492135012, 18787
20, 0.6000000000000001, 67, 0.06484045325084685, 50627
20, 0.6000000000000001, 75, 0.05, 55904
20, 0.6000000000000001, 98, 0.1729839947240871, 67549
20, 0.65, 1, 0.1339492866738196, 3419
20, 0.65, 6, 0.05341341697592591, 6910
20, 0.65, 10, 0.2944926382632655, 11003
20, 0.65, 25, 0.1684031414556264, 18787
20, 0.65, 41, 0.05, 32983
20, 0.65, 67, 0.07700290200874449, 50627
20, 0.65, 75, 0.05, 55904
20, 0.65, 98, 0.1727386146226179, 67549
20, 0.7000000000000001, 1, 0.1284225578839699, 3419
20, 0.7000000000000001, 6, 0.0542845119765738, 6910
20, 0.7000000000000001, 10, 0.2662250903536201, 11003
20, 0.7000000000000001, 25, 0.1598715695162898, 18787
20, 0.7000000000000001, 41, 0.05, 32983
20, 0.7000000000000001, 66, 0.05, 50508
20, 0.7000000000000001, 67, 0.05, 50627
20, 0.7000000000000001, 75, 0.05, 55904
20, 0.7000000000000001, 89, 0.05, 65178
20, 0.7000000000000001, 98, 0.1411962702695461, 67549
20, 0.75, 1, 0.1231624730232522, 3419
20, 0.75, 6, 0.05350128299260357, 6910
20, 0.75, 10, 0.2101652519578925, 11003
20, 0.75, 17, 0.05, 15908
