cluster_KM,cor_mean,cor_min,cor_05,cor_025
38,0.8279101520020548,0.4185553912989942,0.6217020506456665,0.5687616043544814
39,0.4428360293388052,0.001058015646199429,0.19887301833648732,0.1690450033639823
40,0.9381457633248732,0.7607610137626798,0.8618070864917708,0.8445434799692764
41,0.8889884316681173,0.6223790754141723,0.7523864624341502,0.7266835538261837
42,0.9188321456488835,0.7034307244769378,0.8176508851767967,0.7961565368044634
43,0.8493955086665567,0.42897999094573375,0.695670771419757,0.6593841894998078
44,0.9036294687747192,0.700616591243082,0.8000996383269584,0.7805675571338059
45,0.6658949394368923,0.03523124660086467,0.2973466517636044,0.25558425929730894
46,0.9244772051032969,0.7015761854249728,0.829910453635007,0.8101846267206062
47,0.8761117915723293,0.6198892955183225,0.7537611507618169,0.730899139628963
48,0.9080149019970328,0.6862743253968852,0.793487798998906,0.7715522611155817
49,0.9274245761420061,0.7642885164483771,0.8389646774921092,0.8215788652085441
50,0.9225276732246552,0.7036723321666308,0.8264800144120911,0.8053305630772343
51,0.819067891236574,0.45302220471354626,0.6332349314479468,0.6090799312496077
52,0.9242644535594804,0.7173095030744354,0.8229752131505252,0.8006089053175323
53,0.9144063644268149,0.6792370837309754,0.8056084665932756,0.7834617417459427
54,0.7328388819044233,-0.003108906093885519,0.5482335503493982,0.4161817794323981
55,0.8955718407725326,0.611123878351141,0.770332845885592,0.7393899045709331
56,0.9195596032046344,0.6981354902563668,0.8072508138781889,0.7832883465054098
57,0.9227651138877115,0.6890754017675065,0.8133035301409213,0.7910327403123386
58,0.918421531122587,0.6904003219902177,0.8044915039218365,0.781517014280839
59,0.9209338455787313,0.7230990571155577,0.8162377682826645,0.7960171234402672
60,0.8463935858996666,0.3583629193505367,0.6479083232348782,0.5969471979710884
61,0.911566059972743,0.6900296810027986,0.8026347053216771,0.7806788255963107
62,0.9293500412330529,0.7556273910801693,0.8391926469250424,0.8214870407420961
63,0.9224719662657415,0.7535491164238619,0.8339125845744777,0.817878208203653
64,0.8643906289196098,0.4221505231077764,0.6779392144539444,0.6186955520335085
65,0.9175299127419203,0.7470550659210434,0.8284068479602397,0.8115554374328798
66,0.9281899296657952,0.7674023750074855,0.8415061493615678,0.8238872729810859
67,0.8275581146115452,0.3748813235771369,0.5444800562189056,0.4682602291159751
68,0.9300183980909859,0.7676420711372647,0.8478023573464697,0.8321965819581011
69,0.9169570398252396,0.7187804547630268,0.8209898547248295,0.8014534968120292
70,0.902560532610329,0.7035505247280477,0.7966719579118846,0.7778209386982252
71,0.8416833708836996,0.19058381097994143,0.6274068389943696,0.5774390122357946
72,0.9124082123989646,0.7077121380591854,0.8145942936790626,0.7960411503745859
73,0.9282166494231795,0.7616243802470877,0.8413508341472146,0.8247979155027297
74,0.8567319875433501,0.6513477210607316,0.7466289094648058,0.7271021628630703
75,0.7527102141280582,0.09308250293910618,0.4675654578281121,0.4009946155397786
76,0.9269611831738062,0.741741637723606,0.8444410278520806,0.826920520457977
77,0.867828036164333,0.5932838008857061,0.7242626753880373,0.6903776496402974
78,0.7443800793164359,0.05041152451887582,0.46463667295508865,0.3893249614111006
79,0.9004028085907785,0.7026209135990946,0.7997467933583425,0.7826225652141954
80,0.752879258725147,0.3814448779717311,0.5842110355382665,0.5477085954586728
81,0.8456324343972289,0.49041452420147685,0.6733284541396032,0.6288316567413267
82,0.8974485647202578,0.6817717427883027,0.7786983549118898,0.7590884246340384
83,0.9151524528751507,0.7109037267863152,0.8120594037479377,0.7918785051307932
84,0.913982222061078,0.6974758261116397,0.8027623067063011,0.7816531269876935
85,0.9288471712348358,0.7494849489376411,0.836571449252173,0.8189542464139135
86,0.9222103204781676,0.7187595570574052,0.821154811210658,0.8021344637413746
87,0.8670940014913308,0.6096344781267329,0.7296503939472763,0.7084688562709766
88,0.9263387273459962,0.7227218457032981,0.829050977015559,0.8088632637278659
89,0.5913688312058965,0.12257688923562685,0.36290322977302236,0.3195177278677698
90,0.9307046296095475,0.7623531424934926,0.8421022341305805,0.8253117151226678
91,0.9312025963243616,0.7343259206923894,0.8424931652876493,0.8226166408086099
92,0.7825515427439947,0.32121917597120253,0.6328499590069181,0.6012349509750889
