i,CF
294,-0.6597416479787739
295,-0.6595038972181412
296,-0.6594305057221694
297,-0.6598998059566615
298,-0.6507715836182066
299,-0.6511342656373101
300,-0.6511122886591242
301,-0.6509621215299558
302,-0.6514419653231368
303,-0.6517584513923624
304,-0.6516613845529244
305,-0.6514874103683792
306,-0.6518243855719505
307,-0.6518348604544583
308,-0.6520384948789711
309,-0.6526954307289562
310,-0.6532762329199089
311,-0.6534503084092199
312,-0.6536333591377619
313,-0.6540024433237118
314,-0.6544821219918368
315,-0.6549667073236538
316,-0.6551006130621867
317,-0.6552401992416916
318,-0.6555906256941797
319,-0.656049607124329
320,-0.6565377806658954
321,-0.6569408907428518
322,-0.6573782616373252
323,-0.6582317160374079
324,-0.6587083188969917
325,-0.6589725762745902
326,-0.6591016888722403
327,-0.6596649800434604
328,-0.6595095279726685
329,-0.6598256350724878
330,-0.6597852550643173
331,-0.6601116353062831
332,-0.6601710689014025
333,-0.6602875692541931
334,-0.6598816817366128
335,-0.6604106205781567
336,-0.6605384154497008
337,-0.6501845375766488
338,-0.6507130566799051
339,-0.6508751655549664
340,-0.6510345627069956
341,-0.6510491640029568
342,-0.6511200231536572
343,-0.6516605976869961
344,-0.6518412466335609
345,-0.6521156874227575
346,-0.6523295019764094
347,-0.6525966367289546
348,-0.6527693821614657
349,-0.6531815833963602
350,-0.6534041933556552
351,-0.6535377353693751
352,-0.6539145106505548
353,-0.6541067881704645
354,-0.6543529467164244
355,-0.6545858171723982
356,-0.6550044169101329
357,-0.6554177967839526
358,-0.6558911826686131
359,-0.6563284516707645
360,-0.6569658231135074
361,-0.6576106990780626
362,-0.6575928391558485
363,-0.6579591726718441
364,-0.6584896582794403
365,-0.6591916064588573
366,-0.6599095996738051
367,-0.6597895477280931
368,-0.6599136839790295
369,-0.6600122023020617
370,-0.6605236209957556
371,-0.66048912198935406
372,-0.660721790552343
373,-0.6606637873647171
374,-0.6608932389761468
375,-0.6608593956767449
376,-0.6611696612521237
377,-0.6612813710348789
378,-0.6507963077292525
379,-0.6507579593889129
380,-0.6510692781661016
381,-0.6510306823101398
382,-0.6513927746846254
383,-0.6513357583957518
384,-0.6519080340511008
385,-0.6520486051482016
386,-0.6523406294750679
387,-0.6525686727236153
388,-0.652984643472003
389,-0.6528656585110489
390,-0.652862648457349
391,-0.6530373282443608
392,-0.6534815929657921
393,-0.653767255293548
394,-0.6536828753876733
395,-0.6542249259429119
396,-0.6548212356174807
397,-0.6553154086548659
398,-0.6558328424987208
399,-0.6560179105774874
400,-0.6564947721451405
401,-0.6567772231198515
402,-0.6572592213525094
403,-0.6572339655751945
404,-0.65780676625471
