i,DistNW
482,247.88090223723418
483,247.79025502720148
484,247.73515251058697
485,247.7156138783751
486,247.73164300256335
487,247.78322842456586
488,247.87034337658903
489,247.99294583590748
490,248.15097861175224
491,248.34436946438112
492,248.57303125574887
493,248.83686213103374
494,249.13574573012616
495,249.46955142805115
496,249.83813460318834
497,249.65720966988707
498,249.43144782019522
499,249.24080621039226
500,249.0853608331195
501,248.9651729510821
502,248.88028896434082
503,248.8307403086435
504,248.81654338527449
505,248.8376995227877
506,248.89419497082164
507,248.98600092600384
508,249.11307358985113
509,249.27535425837345
510,249.4727694429206
511,249.70523102171109
512,249.1206547501021
513,248.64999860877703
514,248.2140266329902
515,247.81291757361106
516,247.44683664120794
517,247.11593516256954
518,246.82035026255662
519,246.56020457278458
520,246.33560596860306
521,246.14664733556316
522,245.9934063666261
523,245.87594539105422
524,245.79431123587293
525,245.64487948658964
526,245.40987301825416
527,245.21060552564225
528,245.0471596779944
529,244.91960265746468
530,244.82798600903874
531,244.77234552416886
532,244.75270115871768
533,244.76905698560128
534,244.82140118243584
535,244.90970605420557
536,245.0339280908579
537,245.1940080595287
538,245.389871130946
539,245.62142703935072
540,245.88857027512472
541,246.19118030919225
542,246.5291218480342
543,246.90224511810655
544,246.70601565711667
545,246.4776755373986
546,246.28487437571204
547,246.12769099013371
548,246.006188938034
549,245.92041637518452
550,245.87040594778117
551,245.85617471792372
552,245.8777241229501
553,245.93503996880574
554,246.0280924575285
555,246.15683624866878
556,246.32121055436747
557,246.52113926760427
558,246.75653112295763
559,247.02727988911488
560,247.25266417477292
561,246.70695966452016
562,246.19592424206286
563,245.71976990545625
564,245.2786954636379
565,244.87288612423995
566,244.5025131045257
567,244.1677332672779
568,243.86868878339266
569,243.60550682281448
570,243.37829927535844
571,243.187162502786
572,243.03217712341362
573,242.91340783035093
574,242.83090324429023
575,242.691839324562
576,242.45408947130838
577,242.25251158818054
578,242.08719146406625
579,241.95819883375194
580,241.86558721845051
581,241.8093938020868
582,241.78963934404365
583,241.80632812879628
584,241.85944795272556
585,241.94897014817244
586,242.07484964460028
587,242.23702506658017
588,242.43541886805468
589,242.66993750219365
590,242.94047162597604
591,243.24689633844145
592,243.5890714513653
593,243.96684179107228
594,243.75490544174374
595,243.5239228355371
596,243.32890790451225
597,243.169942431366
598,243.04709238162954
599,242.9604077539836
600,242.90992246550093
601,242.89565427242485
602,242.9176047269117
603,242.97575916995652
604,243.07008676053096
605,243.2005405408131
606,243.36705753713935
607,243.56955889620218
608,243.8079500557379
609,244.08212094889774
610,244.92815258543382
611,244.34120450453048
612,243.78908233499146
613,243.27201886006077
614,242.7902337114105
615,242.34393291017804
616,241.9333084301908
617,241.55853778548592
618,241.219783644078
619,240.91719346988853
620,240.65089919463534
621,240.4210169212989
622,240.22764666071822
623,240.07087210268557
624,239.95076042269636
625,239.86736212542002
626,239.7389105495377
627,239.4983479994736
628,239.29440091680746
629,239.12715836630278
630,238.99669276376096
631,238.90305970640156
632,238.84629784125667
633,238.82642877233098
634,238.84345700697668
635,238.89736994181382
636,238.9881378882832
637,239.11571413764335
638,239.28003506514887
639,239.48102027276627
640,239.7185727697358
641,239.99257918998518
642,240.3029100452677
643,240.6494200126993
644,241.0319482552004
645,240.8038880215477
646,240.57019636188062
647,240.3729114532257
648,240.2121181907095
649,240.08788506859355
650,240.00026402111638
651,239.94929030044054
652,239.9349823923828
653,239.9573419703638
654,240.01635388783455
655,240.11198620922667
656,240.24419027923443
657,240.41290083014144
658,240.61803612650831
659,240.85949814657732
660,241.1371727993642
661,243.31725132236068
662,242.65368628072875
663,242.02481561617716
664,241.4309061045064
665,240.8722119922387
666,240.34897447068866
667,239.86142116866557
668,239.40976566611317
669,238.99420703102078
670,238.61492938181263
671,238.27210147739484
672,237.9658763369009
673,237.6963908910903
674,237.4637656671832
675,237.26810450880788
676,237.10949433253023
677,236.98800492225877
678,236.9036887626858
679,236.78610322557685
680,236.54265608640534
681,236.3362787982586
682,236.16706386788078
683,236.0350865285883
684,235.94040455973857
685,235.88305814662513
686,235.8630697815962
687,235.88044420693276
688,235.93516839981976
689,236.02721159947654
690,236.1565253763231
691,236.323043742776
692,236.5266833051287
693,236.76734345558705
694,237.04490660351917
695,237.35923844460402
696,237.71018826648867
697,238.09758928928048
698,237.85297282440038
699,237.6165030778746
700,237.4168898938327
701,237.25422143693524
702,237.12856885834435
703,237.03998612636374
704,236.98850989654775
705,236.9741594219717
706,236.99693650418754
707,237.05682548510535
708,237.15379327988475
709,237.28778945061418
710,237.4587463204329
711,237.6665791274328
712,237.91118621753924
713,238.19244927532236
714,238.5102335915151
715,241.1369522333929
716,240.43070606955035
717,239.75924446031252
718,239.1228560733635
719,238.52181725523812
720,237.9563914577016
721,237.42682868089494
722,236.93336493580225
723,236.47622172856612
724,236.05560556916188
725,235.67170750683718
726,235.32470269467797
727,235.01474998551794
728,234.74199156129902
729,234.50655259787058
730,234.3085409670014
731,234.14804697722585
732,234.02514315496924
733,233.93988406714467
734,233.8334279080236
735,233.58702157760501
736,233.37815077040946
737,233.20691161186582
738,233.07338229807306
739,232.97762290348965
740,232.91967523167418
741,232.89956270988537
742,232.91729032818873
743,232.9728446233941
744,233.06619370789477
745,233.19728734331798
746,233.36605705848675
747,233.5724163111138
748,233.81626069226311
749,234.09746817247066
750,234.41589938814616
751,234.77139796672452
752,235.16379088873657
753,234.9021697352662
754,234.6628502789052
755,234.46084832746178
756,234.29625548222023
