z,y,cov_value
 99,  2, 0.001108645190
100,  2, 0.001298964028
101,  2, 0.000127431953
102,  2, 0.003094827018
103,  2,-0.001724312319
104,  2,-0.001871572223
105,  2,-0.002879854332
106,  2,-0.000763121479
107,  2, 0.003059536332
108,  2,-0.000192635474
109,  2,-0.000477327074
110,  2, 0.000825211041
111,  2,-0.006793814708
112,  2, 0.008209103682
113,  2, 0.000146261825
114,  2,-0.001670296435
115,  2, 0.001558911337
116,  2,-0.007118635037
117,  2,-0.004929754209
118,  2, 0.005797777979
119,  2,-0.004121970123
120,  2, 0.008993845766
121,  2, 0.001563003524
122,  2, 0.005048420247
123,  2,-0.003778821221
124,  2, 0.000710643792
125,  2,-0.003892881668
126,  2,-0.000763970458
127,  2, 0.009422425078
128,  2,-0.006155633745
129,  2,-0.000221159421
130,  2, 0.003453154619
131,  2,-0.004656163725
132,  2,-0.001138340399
133,  2,-0.004211631395
134,  2, 0.008023775457
135,  2, 0.002380809534
136,  2, 0.001745609544
137,  2,-0.006211221231
138,  2,-0.001846807316
139,  2, 0.005913025710
140,  2, 0.001734273375
141,  2,-0.004796617562
142,  2, 0.001839595678
143,  2, 0.005196207772
144,  2, 0.000971032662
145,  2,-0.001965771736
146,  2, 0.004538356530
147,  2, 0.004332439497
148,  2, 0.001217029086
149,  2, 0.004331096089
150,  2, 0.003786187167
  1,  3, 0.123192733819
  2,  3, 0.134618295309
  3,  3, 0.140195745748
  4,  3, 0.113899854159
  5,  3, 0.133734636475
  6,  3, 0.118427745263
  7,  3, 0.118287380550
  8,  3, 0.123972558345
  9,  3, 0.090078560099
 10,  3, 0.104923578147
 11,  3, 0.114095868016
 12,  3, 0.114473594407
 13,  3, 0.088079952223
 14,  3, 0.074149945711
 15,  3, 0.087650918596
 16,  3, 0.077361359382
 17,  3, 0.095078543141
 18,  3, 0.058789374103
 19,  3, 0.053462408087
 20,  3, 0.087724668184
 21,  3, 0.085169450201
 22,  3, 0.071636959538
 23,  3, 0.066882276417
 24,  3, 0.071878482277
 25,  3, 0.040937969587
 26,  3, 0.065471592217
 27,  3, 0.070957939887
 28,  3, 0.055009584963
 29,  3, 0.064440552923
 30,  3, 0.043365402194
 31,  3, 0.037788274419
 32,  3, 0.054360401406
 33,  3, 0.035249976830
 34,  3, 0.032887266867
 35,  3, 0.045299102127
 36,  3, 0.031937491707
 37,  3, 0.033877346139
 38,  3, 0.030983153162
 39,  3, 0.016010452148
 40,  3, 0.028004875594
 41,  3, 0.023432599643
 42,  3, 0.023855752725
 43,  3, 0.008766477242
 44,  3, 0.010734176551
 45,  3, 0.011486555021
 46,  3, 0.015246508849
 47,  3, 0.008133994805
 48,  3, 0.011783070074
 49,  3, 0.019051024176
 50,  3, 0.017809535290
 51,  3, 0.010573924379
 52,  3, 0.016540612926
 53,  3, 0.015352895772
 54,  3, 0.007508168353
 55,  3, 0.013730126722
 56,  3, 0.017641084664
 57,  3, 0.015480500964
 58,  3, 0.017250424744
 59,  3, 0.017221314150
 60,  3, 0.009926238535
 61,  3, 0.014921141621
 62,  3, 0.016066747844
 63,  3, 0.017976662411
 64,  3, 0.009129236596
 65,  3, 0.014808901545
 66,  3, 0.015877317170
 67,  3, 0.007762724459
 68,  3, 0.012241488131
 69,  3, 0.013420682425
 70,  3, 0.011281008488
 71,  3, 0.006451338615
 72,  3, 0.011851109693
 73,  3, 0.008431036790
 74,  3, 0.013272998857
 75,  3, 0.008252095347
 76,  3, 0.005415030580
 77,  3, 0.008139780634
 78,  3, 0.007973333718
 79,  3, 0.005597446530
 80,  3, 0.007047534791
 81,  3, 0.004379369015
 82,  3, 0.007064896838
 83,  3, 0.006115189557
 84,  3, 0.003221794972
 85,  3,-0.000645179007
 86,  3, 0.000437715340
 87,  3, 0.005704235999
 88,  3,-0.000782856991
 89,  3, 0.005169595331
 90,  3,-0.000674534313
 91,  3,-0.000712400027
 92,  3, 0.006963180916
 93,  3, 0.000331805878
 94,  3, 0.001647840497
 95,  3, 0.000050350206
 96,  3, 0.000351435630
 97,  3,-0.000767522758
 98,  3,-0.001220299411
 99,  3, 0.001986943311
100,  3, 0.001945279947
101,  3, 0.001090958347
102,  3, 0.003404729804
103,  3,-0.001271947257
104,  3,-0.001196614653
105,  3,-0.002037170130
106,  3, 0.000169909997
107,  3, 0.002920242165
108,  3, 0.000883251334
109,  3,-0.000610513321
110,  3, 0.001294500031
111,  3,-0.005826982703
112,  3, 0.007219983624
113,  3, 0.001328606872
114,  3,-0.000142506864
115,  3, 0.002567154814
116,  3,-0.005864699630
117,  3,-0.003873028791
118,  3, 0.005515835390
119,  3,-0.002517720847
